Senator's Name	State	Party	Class	Office Room*	Phone
Rounds, Mike	South Dakota	Republican	II	SH-716	4-5842
Rubio, Marco	Florida	Republican	III	SR-284	4-3041
Sanders, Bernard	Vermont	Independent	I	SD-332	4-5141
Sasse, Ben	Nebraska	Republican	II	SR-139	4-4224
Schatz, Brian	Hawaii	Democratic	III	SH-722	4-3934
Schumer, Charles E.	New York	Democratic	III	SH-322	4-6542
Scott, Rick	Florida	Republican	I	SH-502	4-5274
Scott, Tim	South Carolina	Republican	III	SH-104	4-6121
Shaheen, Jeanne	New Hampshire	Democratic	II	SH-506	4-2841
Shelby, Richard C.	Alabama	Republican	III	SR-304	4-5744
Sinema, Kyrsten	Arizona	Democratic	I	SH-317	4-4521
Smith, Tina	Minnesota	Democratic	II	SH-720	4-5641
Stabenow, Debbie	Michigan	Democratic	I	SH-731	4-4822
Sullivan, Dan	Alaska	Republican	II	SH-302	4-3004
Tester, Jon	Montana	Democratic	I	SH-311	4-2644
Thune, John	South Dakota	Republican	III	SD-511	4-2321
Tillis, Thom	North Carolina	Republican	II	SD-113	4-6342
Toomey, Patrick J.	Pennsylvania	Republican	III	SD-455	4-4254
Tuberville, Tommy	Alabama	Republican	II	SR-142	4-4124
Van Hollen, Chris	Maryland	Democratic	III	SH-110	4-4654
Warner, Mark R.	Virginia	Democratic	II	SH-703	4-2023
Warnock, Raphael G.	Georgia	Democratic	III	SR-388	4-3643
Warren, Elizabeth	Massachusetts	Democratic	I	SH-309	4-4543
Whitehouse, Sheldon	Rhode Island	Democratic	I	SH-530	4-2921
Wicker, Roger F.	Mississippi	Republican	I	SD-555	4-6253
Wyden, Ron	Oregon	Democratic	III	SD-221	4-5244
Young, Todd	Indiana	Republican	III	SD-185	4-5623
