state,state_abr,title,party,first_last_,climate_denier,display_on_default,quote_text,quote_reference,quote_reference_url,total_career_contributions
South Carolina,sc,Representative,Republican,Jeff Duncan,TRUE,FALSE,"In response to the October 2018 International Governmental Panel on Climate Change (IPCC) report, Rep. Duncan said: “The climate alarmists continue to move the goalposts when their politically motivated projections do not come true. What was predicted decades ago has yet to take place. We all know that global temperatures have changed throughout the generations, but we must not look to activist climate organizations to push a false agenda in an effort to upend parts of our economy.""","Index-Journal, 10/12/18",http://www.indexjournal.com/news/major-climate-change-report-met-with-silence-by-sc-gop/article_39e22255-80e0-5338-9191-af1a8abef10a.html,"$228,750"
South Carolina,sc,Representative,Republican,Joe Wilson,TRUE,FALSE,"Rep. Wilson questioned the science underlying climate change on Twitter: ""Interesting article about the 'facts' concerning climate change."" The article Wilson shared was from The Daily Caller and was titled ""300 Scientists Want NOAA to Stop Hiding Its Global Warming Data.""","Twitter, 2/13/16",https://twitter.com/CongJoeWilson/status/698661240520839168,"$97,150"
Tennessee,tn,Representative,Republican,Chuck Fleischmann,TRUE,FALSE,"In a 2012 candidate debate, when asked his views on climate change Rep. Fleischmann responded, “I think we ought to take Al Gore, put him on an iceberg, and put him way out there.”","Chattanooga Times Free Press, 7/7/12",https://www.timesfreepress.com/news/opinion/times/story/2012/jul/07/put-who-on-an-iceberg-chattanooga-times/81964/,"$80,100"
Tennessee,tn,Representative,Republican,Phil Roe,TRUE,FALSE,"According to Vote Smart, Rep. Roe maintains: “Many believe greenhouse gas emissions are contributing to the gradual warming of our planet and changing of our climate. While there are many questions surrounding the science of the issue, it seems to me like we could develop a solution that will reduce greenhouse gas emissions without inflicting catastrophic damage on our economy.”","Vote Smart, 1/1/11",http://votesmart.org/public-statement/549174/,"$49,400"
Tennessee,tn,Representative,Republican,Tim Burchett,TRUE,FALSE,"In response to a winter snowstorm, Rep. Burchett tweeted, ""Al Gore needs to scrape my dadgum windshield.""","Twitter, 1/5/18",https://twitter.com/timburchett/status/949267790049042432,"$11,950"
Texas,tx,Representative,Republican,Brian Babin,TRUE,FALSE,"On Twitter, Rep. Babin wrote, ""Great discussion w/@SarahPalinUSA today at #ClimateHustle screening about the falsehoods of climate change. #TX36""","Twitter, 4/14/16",https://twitter.com/RepBrianBabin/status/720722040152526848,"$176,492"
Texas,tx,Representative,Republican,Chip Roy,TRUE,FALSE,"The San Antonio Express-News reported, ""Shortly after he received Smith’s endorsement in the runoff, Roy said the two Republicans agree on 'the hysteria around climate change.'""","San Antonio Express-News, 5/13/18",https://www.expressnews.com/news/local/politics/article/Chip-Roy-s-plan-to-get-Washington-out-of-the-12911492.php,"$114,200"
Texas,tx,Representative,Republican,Dan Crenshaw,TRUE,FALSE,"On a Facebook Live feed, Rep. Crenshaw said: ""We need to have a well-reasoned discussion and debate about what is causing climate change ... We can't start off the conversation saying the climate is settled. The right way to have this conversation is to actually listen to what the science says on both sides.""","Facebook, 6/24/18",https://www.facebook.com/CrenshawforCongress/videos/talking-veteran-issues-climate-change-and-immigration-see-you-next-week/632055277187223/,"$101,445"
Texas,tx,Representative,Republican,Jodey Arrington,TRUE,FALSE,"Abilene Reporter-News reported: ""Global warming has become a political thunderstorm. Mr. Arrington said the facts fall both ways, so he's not yet convinced.""","Abilene Reporter-News, 5/15/16",http://archive.reporternews.com/opinion/editorials/our-opinion-19th-congressional-district-329205db-ad86-1fe4-e053-0100007f1a8f-379533991.html,"$139,650"
Texas,tx,Representative,Republican,John Carter,TRUE,FALSE,"In an op-ed published on his website, Rep. Carter said, “We may or may not even be in a warming cycle. Even if we are, scientific evidence does not conclude that activity by man plays any significant role.”","Office of Rep. John Carter, last accessed 1/19",https://carter.house.gov/opeds/the-return-of-the-warmers/,"$383,428"
Texas,tx,Representative,Republican,Kevin Brady,TRUE,TRUE,"In 2014, Rep. Brady posted a Daily Caller article titled ""NASA data shows that the 'pause' in global warming continues"" on Facebook, commenting, ""I wonder if proponents of 'climate change' consider a NASA climatologist worth listening to.""","Facebook, 1/23/14",https://www.facebook.com/kevinbrady/posts/i-wonder-if-proponents-of-climate-change-consider-a-nasa-climatologist-worth-lis/10152677313817334/,"$1,753,762"
Texas,tx,Representative,Republican,Lance Gooden,TRUE,FALSE,"In response to a question from The Dallas Morning News' voter guide, Rep. Gooden said: ""I don’t deny the conclusions of the scientific community, but I take issue with those who claim to have all the answers. Climate science is imprecise and so are the consequences of any legislative action we take to address the issue. We can never be so arrogant to believe we can predict with certainty the impacts that will follow specific regulations about emissions, not only for the environment, but also for our economy.""","The Dallas Morning News, last accessed 1/19",https://voterguide.dallasnews.com/2018-general/candidates/469/,"$54,350"
Texas,tx,Representative,Republican,Louie Gohmert,TRUE,FALSE,"In a Breitbart News Daily radio clip, Rep. Gohmert said: “I also noticed, Steven, that it seems like when you hear somebody say over and over again that climate change is our biggest problem, they don’t know that climate has been changing a lot worse over all the millennia of mankind. In fact, I asked a witness, hey, is it as warm as it was back when Leif Erikson and the Norse came across to Greenland and had all those farms in Greenland? He said, it’s never gotten anywhere close to being that warm since then. Do we have any idea what kind of internal combustion engines they were using back then that was causing all this climate change?”","SoundCloud, 2/25/16",https://soundcloud.com/breitbart/breitbart-news-daily-congressman-louie-gohmert-february-25-2016,"$451,354"
Texas,tx,Representative,Republican,Mac Thornberry,TRUE,FALSE,"Hereford BRAND reported that Rep. Thornberry said, “We need to be careful of what we say in the name of climate change ... It has become untethered from what the science really proves so far.”","Hereford BRAND, 9/10/16",http://herefordbrand.com/web/rep-unsure-climate-change/,"$666,155"
Texas,tx,Representative,Republican,Michael C Burgess,TRUE,FALSE,"The Denton Record-Chronicle reported that Rep. Burgess recently hosted the annual University of North Texas (UNT) Energy Summit and Fair, where regional EPA Administrator Anne Idsal spoke. When asked about her views on climate change, she said that she ""doesn't necessarily think the science has panned out on that ... there is a potential that you do have some impact from humankind throughout the globe. What exactly that impact may be or is, I don’t necessarily think the science has been settled on that.” At the end of the event, when asked about Idsal's statements, Burgess simply said, ""I don't disagree with her.""","Denton Record-Chronicle, 7/7/18",https://www.dentonrc.com/news/epa-administrator-says-science-not-panned-out-yet-on-climate/article_a1394752-f531-5869-87b6-c77bc95e5efe.html,"$428,846"
Texas,tx,Representative,Republican,Michael McCaul,TRUE,FALSE,"In his keynote speech at the 2018 International Affairs Fellowship Conference, Rep. McCaul said, ""Well, that issue’s gotten completely politicized, as you know. And, you know, the question is, are we going through a normal Earth cycle or is it—how much of this is man-made?""","Council on Foreign Relations, 5/11/18",https://www.cfr.org/event/conversation-michael-mccaul,"$612,084"
Texas,tx,Representative,Republican,Mike Conaway,TRUE,FALSE,"Rep. Conaway said on the House floor, “Science is never settled … They changed the phraseology because the climate isn’t warming.”","YouTube, 6/29/09",https://www.youtube.com/watch?v=lIpqErN9LJU,"$1,427,442"
Texas,tx,Representative,Republican,Pete Olson,TRUE,FALSE,"In a statement regarding the United States' withdrawal from the Paris climate agreement, Rep. Olson said: ""I have long said that while I support clean air and clean water, any actions on climate change by the US need to be weighed against the science, the impact our reductions will have on a global scale and the economic impacts they will have here at home.""","Office of Rep. Pete Olson, 6/1/17",https://olson.house.gov/media-center/press-releases/olson-statement-on-president-trumps-decision-to-withdraw-from-paris,"$1,106,928"
Texas,tx,Representative,Republican,Randy Weber,TRUE,FALSE,"At a November 2017 hearing of the House Committee on Science, Space, and Technology, Rep. Weber said, “The future is bright for geoengineering."" He said that some proposals such as ""placement of mirrors in space"" and ""brightening the clouds overhead ... could have a cooling effect on our lower atmosphere.""","Wired, 3/28/18",https://www.wired.com/story/why-climate-change-skeptics-are-backing-geoengineering/,"$303,050"
Texas,tx,Representative,Republican,Ron Wright,TRUE,FALSE,"In a video stating his stance on various campaign issues, Rep. Wright said: ""I think we have to strike a balance, and that's what [Rep.] Joe [Barton] tried to do ... When I graduated from high school, they were predicting another ice age. Well, that didn't happen ... We can have both. We can have clean water and clean air, and robust industry.""","The Texas Tribune, 4/18/18",https://www.texastribune.org/2018/04/18/texas-congress-district-2018-election-jake-ellzey-ron-wright/,"$31,500"
Texas,tx,Representative,Republican,Van Taylor,TRUE,FALSE,"On March 13, 2016, Rep. Taylor tweeted out an article from The Daily Signal, which claimed that then-Attorney General Loretta Lynch was considering prosecuting ""climate change deniers."" He commented, ""Obama wants to prosecute people who disagree with him...you can't make this up.""","Twitter, 3/13/16",https://twitter.com/VanTaylorTX/status/709206538670333952,"$237,200"
Utah,ut,Representative,Republican,Chris Stewart,TRUE,FALSE,"In a 2013 op-ed for The Salt Lake Tribune, Rep. Stewart wrote, “The science regarding climate change is anything but settled.”","The Salt Lake Tribune, 4/13/13",http://www.sltrib.com/sltrib/opinion/56130738-82/climate-global-stewart-regarding.html.csp,"$290,606"
Utah,ut,Representative,Republican,Rob Bishop,TRUE,FALSE,"During a discussion with E&E News' interview program, OnPoint, Rep. Bishop said, “If the issue is dealing with carbon in the air and there is climate change all the time and I wish there was more global warming right now. Because it's really cold here -- I want it warmer in some way.”","E&E News, 2/25/15",http://www.eenews.net/videos/1946/transcript,"$548,866"
Virginia,va,Representative,Republican,Morgan Griffith,TRUE,FALSE,"Virginia Public Radio reported: “Griffith says the US alone can't make an impact on the earth’s atmosphere because China and India use so much coal. 'Because what’s happening is they’re spewing all that into the atmosphere in Asia and other parts of the world that are still using coal and then what happens is that it floats through the atmosphere, we all share the same atmosphere. So if you only look at the United States, if you take that position that we’re just going to fix the U.S., we’re not going to fix the rest of the world by doing that.'""","Virginia Public Radio, 4/18/17",https://www.wvtf.org/post/not-all-gop-members-deny-climate-change-theyre-still-minority#stream/0,"$430,806"
Virginia,va,Representative,Republican,Rob Wittman,TRUE,FALSE,"As reported by The American Prospect, Rep. Wittman told the Richmond-Times Dispatch in 2013: “We must recognize that these climactic cycles of heating and cooling have been going on well before man appeared on earth.”","The American Prospect, 7/17/15",http://prospect.org/article/three-climate-deniers-congress-whose-districts-will-soon-be-underwater,"$95,765"
Washington,wa,Representative,Republican,Cathy McMorris Rodgers,TRUE,FALSE,"The Spokesman-Review reported that ""McMorris Rodgers said she believes human activity is 'partially' responsible for global warming.""","The Spokesman-Review, 7/14/18",http://www.spokesman.com/stories/2018/jul/14/brown-mcmorris-rogers-talk-dams-climate-change-and/,"$512,890"
